fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc,model_name,result_dir
1,315_999,"315,999",368,8,0.7584881486226778,0.7120419144630432,0.5783206224441528,0.4812030075187969,0.4833333333333333,0.5829145728643216,0.5284738041002278,0.4776633165829145,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926
2,421_463,"421,463",401,1,0.5675505050505051,0.5502958297729492,0.6782858967781067,0.5728643216080402,0.5491525423728814,0.8140703517587939,0.6558704453441295,0.6267265978131865,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926
3,346_444,"346,444",999,9,0.7256922086284611,0.6150000095367432,0.664272665977478,0.5703517587939698,0.5514018691588785,0.6113989637305699,0.5798525798525799,0.5910526980917477,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926
4,311_342,"311,342",401,3,0.6551071878940732,0.5443786978721619,0.6866936087608337,0.6136363636363636,0.6205128205128205,0.605,0.6126582278481013,0.6337755102040816,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926
5,340_368_401,"340,368,401",311,1,0.5391804457225018,0.5450000166893005,0.6914994120597839,0.5357142857142857,0.5241730279898219,0.7383512544802867,0.6130952380952381,0.5308613630275897,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_groupkfold_nvalsubj1_2026-05-24_210926
1,315_999,"315,999",368,7,0.7117232543241512,0.9319371581077576,0.4603456854820251,0.4912280701754385,0.4893617021276595,0.4623115577889447,0.4754521963824289,0.5056532663316583,Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613
2,421_463,"421,463",401,4,0.6818181818181818,0.5621301531791687,0.6494121551513672,0.5402010050251256,0.5396039603960396,0.5477386934673367,0.543640897755611,0.5409711875962728,Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613
3,346_444,"346,444",999,1,0.5376690276883451,0.4199999868869781,0.7037285566329956,0.5125628140703518,0.4986737400530504,0.9740932642487048,0.6596491228070176,0.7618855048654113,Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613
4,311_342,"311,342",401,5,0.6765447667087011,0.5443786978721619,0.6550008654594421,0.6540404040404041,0.6285714285714286,0.77,0.6921348314606741,0.5920663265306122,Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613
5,340_368_401,"340,368,401",311,10,0.7548526240115025,0.6800000071525574,0.5871389508247375,0.3410714285714286,0.3875,0.5555555555555556,0.4565537555228277,0.1866477888748581,Features1D CNN,outputs\results\features1d_cnn_groupkfold_nvalsubj1_2026-05-24_213613
1,315_999,"315,999",368,5,0.7783472133247918,0.9842932224273682,0.1719237118959427,0.4636591478696741,0.4691358024691358,0.5728643216080402,0.5158371040723982,0.4924874371859297,Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642
2,421_463,"421,463",401,1,0.6414141414141414,0.5384615659713745,0.6997328400611877,0.5276381909547738,0.5215686274509804,0.6683417085427136,0.5859030837004405,0.5461478245498851,Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642
3,346_444,"346,444",999,1,0.6078557630392788,0.4650000035762787,0.7500943541526794,0.5653266331658291,0.5324675324675324,0.8497409326424871,0.654690618762475,0.7516744597497789,Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642
4,311_342,"311,342",401,28,0.9104665825977302,0.6982248425483704,0.7157876491546631,0.7373737373737373,0.6632653061224489,0.975,0.7894736842105263,0.541045918367347,Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642
5,340_368_401,"340,368,401",311,46,0.905823148813803,0.8899999856948853,0.3090960383415222,0.5625,0.5497076023391813,0.6738351254480287,0.605475040257649,0.592635110141711,Features2D CNN,outputs\results\features2d_cnn_groupkfold_nvalsubj1_2026-05-24_213642
1,315_999,"315,999",368,10,0.7809096732863549,0.9685863852500916,0.2898289263248443,0.4837092731829573,0.47953216374269,0.4120603015075377,0.4432432432432432,0.4734924623115578,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743
2,421_463,"421,463",401,6,0.6887626262626263,0.6627218723297119,0.6207810044288635,0.6080402010050251,0.6214689265536724,0.5527638190954773,0.5851063829787234,0.6283174667306382,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743
3,346_444,"346,444",999,3,0.5898261429491307,0.550000011920929,0.6904293298721313,0.6708542713567839,0.6291666666666667,0.7823834196891192,0.6974595842956121,0.7074939972197649,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743
4,311_342,"311,342",401,15,0.8203026481715007,0.6094674468040466,0.6480865478515625,0.696969696969697,0.631578947368421,0.96,0.7619047619047619,0.5559693877551021,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743
5,340_368_401,"340,368,401",311,22,0.9237958303378864,0.7599999904632568,0.6247087717056274,0.3375,0.3756756756756756,0.4982078853046595,0.4283513097072419,0.2344800316330565,Hybrid Raw + Features CNN,outputs\results\hybrid_cnn_groupkfold_nvalsubj1_2026-05-24_213743
