fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc,model_name,result_dir
1,311,311,401,1,0.5650953984287318,0.5621301531791687,0.6931465864181519,0.595,0.5655172413793104,0.82,0.6693877551020408,0.5835,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
2,315,315,421,7,0.725769669327252,0.6111111044883728,0.6610416173934937,0.5276381909547738,0.5182481751824818,0.7171717171717171,0.6016949152542372,0.516969696969697,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
3,340,340,999,2,0.6424900057110223,0.6200000047683716,0.6679956912994385,0.455,0.4444444444444444,0.36,0.3977900552486187,0.4668,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
4,342,342,401,1,0.5615901455767077,0.4674556255340576,0.7408411502838135,0.5408163265306123,0.5409836065573771,0.66,0.5945945945945946,0.5433333333333334,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
5,346,346,311,2,0.6286366229321164,0.5950000286102295,0.6776933073997498,0.5808080808080808,0.5352112676056338,0.8172043010752689,0.6468085106382979,0.6838709677419355,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
6,368,368,315,1,0.5394662123793299,0.5226130485534668,0.8210290670394897,0.6910994764397905,0.6518518518518519,0.88,0.7489361702127659,0.6971428571428572,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
7,401,401,311,14,0.7794612794612794,0.6850000023841858,0.6103418469429016,0.5266272189349113,0.4901960784313725,0.3164556962025316,0.3846153846153846,0.6,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
8,421,421,444,7,0.6988020536223617,0.550000011920929,0.6772409677505493,0.5808080808080808,0.5701754385964912,0.6565656565656566,0.6103286384976526,0.6577900214263852,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
9,444,444,342,3,0.6478632478632479,0.5918367505073547,0.6710439324378967,0.525,0.5423728813559322,0.32,0.4025157232704403,0.6379,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
10,463,463,999,3,0.6567675613934895,0.5699999928474426,0.6516080498695374,0.57,0.5492957746478874,0.78,0.6446280991735537,0.5683,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
11,999,999,421,11,0.764403879064461,0.631313145160675,0.63972008228302,0.605,0.6179775280898876,0.55,0.582010582010582,0.6382,Raw EEGNet-like CNN,outputs\results\raw_eegnetlike_loso_nvalsubj1_2026-05-24_162023
1,311,311,401,6,0.6666666666666666,0.7041420340538025,0.5649722218513489,0.975,0.9702970297029704,0.98,0.9751243781094528,0.9965,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
2,315,315,421,1,0.5273660205245154,0.5,1.298553466796875,0.3819095477386934,0.3125,0.202020202020202,0.2453987730061349,0.2469696969696969,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
3,340,340,999,1,0.5494003426613364,0.4449999928474426,0.7089380621910095,0.725,0.9245283018867924,0.49,0.6405228758169934,0.804,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
4,342,342,401,3,0.6746920492721165,0.5680473446846008,0.6354683041572571,0.4081632653061224,0.4487179487179487,0.7,0.546875,0.2603125,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
5,346,346,311,97,0.9218482601254993,0.9800000190734864,0.0465998128056526,0.3282828282828283,0.3765432098765432,0.6559139784946236,0.4784313725490196,0.1708141321044547,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
6,368,368,315,1,0.5099375354911981,0.4321607947349548,0.8303768634796143,0.8272251308900523,0.8073394495412844,0.88,0.8421052631578947,0.9169230769230768,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
7,401,401,311,18,0.8720538720538721,0.9350000023841858,0.2629911303520202,0.5325443786982249,0.0,0.0,0.0,0.6646976090014065,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
8,421,421,444,18,0.8185966913861951,0.6700000166893005,0.6027287840843201,0.6161616161616161,0.6885245901639344,0.4242424242424242,0.525,0.6867666564636261,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
9,444,444,342,1,0.5168091168091168,0.4540816247463226,0.7140402793884277,0.495,0.4974358974358974,0.97,0.6576271186440678,0.2192,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
10,463,463,999,3,0.6881781838949171,0.5249999761581421,0.6955438256263733,0.495,0.4973821989528796,0.95,0.6529209621993127,0.4569,Features1D CNN,outputs\results\features1d_cnn_loso_nvalsubj1_2026-05-24_172257
