fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,10,0.9848484848484849,0.7041420340538025,0.7913417220115662,0.885,0.9753086419753086,0.79,0.8729281767955801,0.9878
2,315,315,421,24,0.9863169897377423,0.5353535413742065,2.305922746658325,0.6633165829145728,0.626984126984127,0.797979797979798,0.7022222222222222,0.7557575757575759
3,340,340,999,1,0.6773272415762421,0.5899999737739563,0.8294023275375366,0.74,0.8076923076923077,0.63,0.7078651685393258,0.8364
4,342,342,401,4,0.8784994400895857,0.6804733872413635,0.6092227101325989,0.5051020408163265,0.5076923076923077,0.99,0.6711864406779661,0.19041666666666668
5,346,346,311,38,0.9982886480319453,0.9900000095367432,0.03121073544025421,0.35353535353535354,0.3776223776223776,0.5806451612903226,0.4576271186440678,0.2714797747055811
6,368,368,315,4,0.9165247018739353,0.733668327331543,0.5982139110565186,0.581151832460733,0.5609756097560976,0.92,0.696969696969697,0.5063736263736264
7,401,401,311,27,0.9837261503928171,0.9850000143051147,0.05772243067622185,0.7100591715976331,0.8125,0.4936708860759494,0.6141732283464567,0.8573839662447257
8,421,421,444,36,0.9857387335995437,0.875,0.33602359890937805,0.5808080808080808,0.6,0.48484848484848486,0.5363128491620112,0.6273849607182941
9,444,444,342,1,0.6951566951566952,0.5102040767669678,1.5430324077606201,0.545,0.5235602094240838,1.0,0.6872852233676976,0.9368
10,463,463,999,1,0.6967447173043975,0.6050000190734863,0.7965570688247681,0.45,0.4576271186440678,0.54,0.4954128440366973,0.4265
11,999,999,421,4,0.930405019965773,0.7121211886405945,0.6994702219963074,0.55,0.75,0.15,0.25,0.6194
