fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",91,0.6370038412291933,0.6760925650596619,0.6213083267211914,0.685,0.6761904761904762,0.71,0.6926829268292682,0.7571
2,315,315,"421,340",6,0.584942084942085,0.5678392052650452,0.686026930809021,0.4221105527638191,0.4523809523809524,0.7676767676767676,0.5692883895131086,0.4553535353535354
3,340,340,"463,401",58,0.7168141592920354,0.6287263035774231,0.6519690155982971,0.55,0.6041666666666666,0.29,0.3918918918918919,0.6559
4,342,342,"999,368",39,0.7205882352941176,0.7493606209754944,0.5363284945487976,0.4387755102040816,0.47058823529411764,0.8,0.5925925925925926,0.4038541666666666
5,346,346,"311,444",122,0.8274307791371539,0.824999988079071,0.4676186740398407,0.40404040404040403,0.42138364779874216,0.7204301075268817,0.5317460317460317,0.3020993343573989
6,368,368,"342,315",1,0.5047923322683706,0.4481012523174286,0.7213225364685059,0.6858638743455497,0.6538461538461539,0.85,0.7391304347826086,0.7357142857142857
7,401,401,"311,342",12,0.6809583858764187,0.6237373948097229,0.6545875668525696,0.5739644970414202,0.6206896551724138,0.22784810126582278,0.3333333333333333,0.6434599156118144
8,421,421,"444,999",197,0.7263361236316807,0.5724999904632568,0.6747004389762878,0.5404040404040404,1.0,0.08080808080808081,0.14953271028037382,0.7456382001836548
9,444,444,"342,999",1,0.5356913183279742,0.4444444477558136,0.7163907885551453,0.495,0.42857142857142855,0.03,0.056074766355140186,0.5521
10,463,463,"401,444",10,0.7699115044247787,0.6720867156982422,0.599249005317688,0.46,0.4649122807017544,0.53,0.4953271028037383,0.43
11,999,999,"401,311",67,0.8723135271807838,0.8102980852127075,0.4235539436340332,0.505,0.6,0.03,0.05714285714285714,0.5543
