fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,1,0.5757575757575758,0.5325443744659424,0.6788472533226013,0.65,0.6102941176470589,0.83,0.7033898305084746,0.6675
2,315,315,421,3,0.6567844925883695,0.6363636255264282,0.6462545394897461,0.628140703517588,0.6050420168067226,0.7272727272727273,0.6605504587155964,0.6808080808080808
3,340,340,999,5,0.7207310108509423,0.6050000190734863,0.6657816171646118,0.395,0.37349397590361444,0.31,0.33879781420765026,0.38549999999999995
4,342,342,401,3,0.6612541993281075,0.6213017702102661,0.6770108342170715,0.5051020408163265,0.5189873417721519,0.41,0.4581005586592179,0.5177083333333333
5,346,346,311,6,0.728465487735311,0.6650000214576721,0.619198739528656,0.5555555555555556,0.5161290322580645,0.8602150537634409,0.6451612903225806,0.6099334357398875
6,368,368,315,5,0.6513344690516751,0.5929648280143738,0.7177653312683105,0.5759162303664922,0.5826086956521739,0.67,0.6232558139534884,0.5706593406593407
7,401,401,311,12,0.8153759820426487,0.7300000190734863,0.5582706332206726,0.5621301775147929,0.5471698113207547,0.3670886075949367,0.4393939393939394,0.5814345991561182
8,421,421,444,2,0.6183685111237878,0.4950000047683716,0.6980212926864624,0.5757575757575758,0.5789473684210527,0.5555555555555556,0.5670103092783505,0.626670747882869
9,444,444,342,3,0.6598290598290598,0.5408163070678711,0.72662752866745,0.515,0.5263157894736842,0.3,0.3821656050955414,0.5448999999999999
10,463,463,999,2,0.6087949743003997,0.6700000166893005,0.6368776559829712,0.52,0.5144927536231884,0.71,0.5966386554621849,0.5265
11,999,999,421,5,0.6919566457501426,0.6414141654968262,0.6222466230392456,0.595,0.5826086956521739,0.67,0.6232558139534884,0.6396000000000001
