fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,"421,368",159,0.7144686299615877,0.6658097505569458,0.6222971677780151,0.545,0.5279503105590062,0.85,0.6513409961685823,0.6698
2,315,315,"421,340",2,0.5160875160875161,0.5603014826774597,0.6879363656044006,0.48743718592964824,0.4913294797687861,0.8585858585858586,0.625,0.6053535353535354
3,340,340,"463,401",4,0.6093552465233881,0.574525773525238,0.6906270980834961,0.44,0.45384615384615384,0.59,0.5130434782608696,0.381
4,342,342,"999,368",93,0.7762148337595908,0.6905370950698853,0.6140206456184387,0.413265306122449,0.4444444444444444,0.6,0.5106382978723404,0.40260416666666665
5,346,346,"311,444",1,0.527366387636832,0.6274999976158142,0.6654872894287109,0.5454545454545454,0.5107913669064749,0.7634408602150538,0.6120689655172413,0.6089093701996928
6,368,368,"342,315",1,0.5118210862619809,0.5316455960273743,0.6997564435005188,0.581151832460733,0.6041666666666666,0.58,0.5918367346938775,0.5856043956043956
7,401,401,"311,342",59,0.6311475409836066,0.5858585834503174,0.6785078048706055,0.4911242603550296,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.5372714486638537
8,421,421,"444,999",67,0.6458467482292337,0.5950000286102295,0.6695795655250549,0.5707070707070707,0.5777777777777777,0.5252525252525253,0.5502645502645502,0.6115702479338843
9,444,444,"342,999",50,0.6643086816720257,0.5631313323974609,0.6788350343704224,0.575,0.5842696629213483,0.52,0.5502645502645502,0.5603
10,463,463,"401,444",43,0.6517067003792667,0.6205962300300598,0.6590838432312012,0.535,0.52046783625731,0.89,0.6568265682656826,0.5454
11,999,999,"401,311",179,0.6706700379266751,0.574525773525238,0.6687031984329224,0.525,0.5159235668789809,0.81,0.6303501945525292,0.5495
