fold,test_subject,test_subjects,val_subjects,best_epoch,best_train_acc,best_val_acc,best_val_loss,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_roc_auc
1,311,311,401,6,0.6666666666666666,0.7041420340538025,0.5649722218513489,0.975,0.9702970297029703,0.98,0.9751243781094527,0.9965
2,315,315,421,1,0.5273660205245154,0.5,1.298553466796875,0.38190954773869346,0.3125,0.20202020202020202,0.24539877300613497,0.24696969696969695
3,340,340,999,1,0.5494003426613364,0.4449999928474426,0.7089380621910095,0.725,0.9245283018867925,0.49,0.6405228758169934,0.804
4,342,342,401,3,0.6746920492721165,0.5680473446846008,0.6354683041572571,0.40816326530612246,0.44871794871794873,0.7,0.546875,0.2603125
5,346,346,311,97,0.9218482601254991,0.9800000190734863,0.04659981280565262,0.3282828282828283,0.3765432098765432,0.6559139784946236,0.47843137254901963,0.1708141321044547
6,368,368,315,1,0.5099375354911981,0.43216079473495483,0.8303768634796143,0.8272251308900523,0.8073394495412844,0.88,0.8421052631578947,0.9169230769230768
7,401,401,311,18,0.8720538720538721,0.9350000023841858,0.26299113035202026,0.5325443786982249,0.0,0.0,0.0,0.6646976090014065
8,421,421,444,18,0.8185966913861951,0.6700000166893005,0.6027287840843201,0.6161616161616161,0.6885245901639344,0.42424242424242425,0.525,0.6867666564636261
9,444,444,342,1,0.5168091168091168,0.45408162474632263,0.7140402793884277,0.495,0.49743589743589745,0.97,0.6576271186440678,0.2192
10,463,463,999,3,0.6881781838949171,0.5249999761581421,0.6955438256263733,0.495,0.4973821989528796,0.95,0.6529209621993127,0.4569
11,999,999,421,6,0.7033656588705077,0.6818181872367859,0.6794852614402771,0.54,0.6052631578947368,0.23,0.3333333333333333,0.4547
